index	상호명	지점명	주소
0	롯데마트	광복점	부산 중구 중앙대로 2
1	롯데마트	동래점	부산 동래구 중앙대로 1393
2	롯데마트	사상점	부산 사상구 낙동대로 733
3	롯데마트	화명점	부산 북구 화명대로 47
4	롯데아울렛	동부산점	부산 기장군 기장읍 기장해안로 147
5	롯데백화점	광복점	부산 중구 중앙대로 2
6	이마트	금정점	부산 금정구 중앙대로1841번길 24
7	이마트	연제점	부산 연제구 연수로 89
8	신세계프리미엄아울렛	부산점	부산 기장군 장안읍 정관로 1133
9	홈플러스	가야점	부산 부산진구 가야대로 506
10	홈플러스	부산연산점	부산 연제구 반송로 88
11	홈플러스	부산정관점	부산 기장군 정관읍 정관5로 50
12	홈플러스	센텀시티점	부산 해운대구 센텀동로 6
13	홈플러스	아시아드점	부산 연제구 종합운동장로 7
14	홈플러스	해운대점	부산 해운대구 해운대해변로 140
15	홈플러스	동래점	부산 동래구 중앙대로 1523
16	홈플러스	서면점	부산 부산진구 동천로 4
17	홈플러스	부산반여점	부산 해운대구 선수촌로21번길 37
18	가챠샵	경성대점	부산 남구 수영로298번길 10
19	가챠샵	서면점	부산 부산진구 중앙대로702번길 23
20	하나로마트	부산점	부산 북구 금곡대로 469
21	더케이토이박스		부산 부산진구 중앙대로 672
22	명지대왕게임랜드		부산 강서구 명지오션시티4로 68
23	NC백화점	해운대점	부산 해운대구 해운대로 813
24	NC백화점	부산대점	부산 금정구 부산대학로63번길 2
25	W스퀘어 모던토이	용호점	부산 남구 분포로 145
26	현대백화점	부산점	부산 동구 범일로 125
