index	상호명	지점명	주소
0	롯데마트	김포한강점	경기 김포시 김포한강2로 41
1	롯데마트	덕소점	경기 남양주시 와부읍 월문천로 33 롯데마트 덕소점
2	롯데마트	동두천점	경기 동두천시 평화로2169번길 21
3	롯데마트	마석점	경기 남양주시 화도읍 경춘로 1992
4	롯데마트	수원점	경기 수원시 권선구 세화로 134 롯데마트수원점
5	롯데마트	시흥점	경기 시흥시 비둘기공원로 28
6	롯데마트	시흥배곧점	경기 시흥시 서울대학로278번길 67
7	롯데마트	안산점	경기 안산시 상록구 항가울로 422
8	롯데마트	안성점	경기 안성시 공도읍 서동대로 4478
9	롯데마트	의왕점	경기 의왕시 계원대학로 7 롯데마트의왕점
10	롯데마트	주엽점	경기 고양시 일산서구 중앙로 1496 문촌마을
11	롯데마트	평촌점	경기 안양시 동안구 시민대로 180 롯데백화점평촌점
12	롯데마트	이천점	경기 이천시 구만리로 191
13	롯데몰	수지점	경기 용인시 수지구 수지로 203
14	롯데몰	이천점	경기 이천시 호법면 프리미엄아울렛로 177-74
15	이마트	경기광주점	경기 광주시 광주대로 30 광주터미널 이프라자
16	이마트	과천점	경기 과천시 별양상가3로 11
17	이마트	광명소하점	경기 광명시 소하로 97
18	이마트	김포한강점	경기 김포시 김포한강7로 71 이마트 김포한강점
19	이마트	남양주점	경기 남양주시 늘을2로 27 E-MART
20	이마트	동백점	경기 용인시 기흥구 동백죽전대로 444 쥬네브썬월드빌딩
21	이마트	동탄점	경기 화성시 동탄중앙로 376 화성 동탄 E-Mart
22	이마트	별내점	경기 남양주시 순화궁로 167
23	이마트	보라점	경기 용인시 기흥구 한보라1로 92 보라지구E-MART
24	이마트	분당점	경기 성남시 분당구 불정로 134
25	이마트	산본점	경기 군포시 산본로 347 신세계산본점
26	이마트	서수원점	경기 수원시 권선구 수인로 291 서수원버스터미널
27	이마트	수원점	경기 수원시 권선구 경수대로 270 주차빌딩
28	이마트	수지점	경기 용인시 수지구 수지로 203 이마트수지점
29	이마트	안성점	경기 안성시 중앙로 246 안성E-MART
30	이마트	양주점	경기 양주시 평화로 1713 이마트
31	이마트	여주점	경기 여주시 세종로 151
32	이마트	용인점	경기 용인시 처인구 명지로 53 E마트
33	이마트	일산점	경기 고양시 일산동구 중앙로 1124 흰돌마을
34	이마트	죽전점	경기 용인시 수지구 포은대로 552 이마트죽전점
35	이마트	진접점	경기 남양주시 진접읍 금강로유연들1길 154 진접이마트
36	이마트	파주점	경기 파주시 당하길 10 이마트
37	이마트	평택점	경기 평택시 영신로 29 이마트
38	이마트	평촌점	경기 안양시 동안구 시민대로 300 이마트평촌점
39	이마트	포천점	경기 포천시 호국로 915
40	이마트	풍산점	경기 고양시 일산동구 무궁화로 237 이마트풍산점
41	이마트	하남점	경기 하남시 덕풍서로 70 하남풍산지구E-MART
42	이마트	화성봉담점	경기 화성시 봉담읍 효행로 278
43	이마트	흥덕점	경기 용인시 기흥구 흥덕중앙로 60
44	이마트	부천점	경기 부천시 부천로 1 부천역사 쇼핑몰
45	이마트	의정부점	경기 의정부시 민락로 210 이마트
46	이마트	의왕점	경기 의왕시 경수대로 262 지하1~2층
47	스타필드 토이킹덤	하남점	경기 하남시 미사대로 750 스타필드 하남
48	스타필드 토이킹덤	안성점	경기 안성시 공도읍 서동대로 3930-39 스타필드 안성점 2층
49	홈플러스	경기하남점	경기 하남시 하남대로 747
50	홈플러스	고양터미널점	경기 고양시 일산동구 중앙로 1036 고양터미널점 B2
51	홈플러스	김포풍무점	경기 김포시 풍무로 167
52	홈플러스	북수원점	경기 수원시 장안구 경수대로 930
53	홈플러스	안산고잔점	경기 안산시 단원구 광덕대로 175 홈플러스
54	홈플러스	안산선부점	경기 안산시 단원구 삼일로 316 홈플러스
55	홈플러스	시흥점	서울 금천구 시흥대로 201 홈플러스시흥점
56	홈플러스	킨텍스점	경기 고양시 일산서구 호수로 817
57	홈플러스	파주문산점	경기 파주시 문산읍 방촌로 1759
58	홈플러스	의정부점	경기 의정부시 청사로 38
59	홈플러스	송탄점	경기 평택시 경기대로 1103 홈플러스
60	홈플러스	김포점	경기 김포시 중봉로 14
61	홈플러스	부천소사점	경기 부천시 경인로 532
62	홈플러스	포천송우점	경기 포천시 소흘읍 솔모루로 9
63	홈플러스	시화점	경기 시흥시 희망공원로 269 홈플러스시화점
64	홈플러스	진접점	경기 남양주시 진접읍 금강로 1447 홈플러스
65	홈플러스	화성향남점	경기 화성시 향남읍 향남로 402 홈플러스 화성향남점
66	카페드봉봉		경기도 부천시 부천로3번길 45
67	드림디포	성남직영점	경기 성남시 수정구 수정로 150
68	뉴코아아울렛	동수원점	경기 수원시 팔달구 인계로 154
69	우리홈마트	경기광주점	경기 광주시 순암로 169
70	2001아울렛	안양점	경기 안양시 만안구 안양로 275 2001아울렛
71	토이플러스	동탄점	경기 오산시 문시로 109-12
72	롯데프리미엄아울렛	기흥점	경기 용인시 기흥구 신고매로 124
73	영풍문고	분당서현점	경기 성남시 분당구 분당로 55 분당 퍼스트타워 지하 1층
74	영풍문고	신세계의정부점	경기 의정부시 평화로 525 신세계백화점의정부점 1F
75	아이토빅	파주	경기 파주시 교하로 961-16
76	토이플러스	판교점	경기 성남시 수정구 창업로 17 C2동 B107호
77	엘마트	구리점	경기 구리시 동구릉로136번길 57 구리유통종합상가
78	토이플러스	부천옥길점	경기 부천시 옥길로 1
79	토이플러스	위례점	경기 하남시 위례대로 200 2층
80	GS25	인천공항입국장점	인천 중구 공항로 272 인천공항 제2터미널 1층 P2-8 기둥 앞
81	GS25	인천공항교통센터점	인천 중구 공항로 272 지하 2-22-14호 지하1층
