index	상호명	지점명	주소
0	롯데마트	김해점	경남 김해시 김해대로 2330
1	롯데마트	삼계점	경남 창원시 마산회원구 내서읍 경남대로 927
2	롯데마트	시티세븐점	경남 창원시 성산구 원이대로 320
3	롯데마트	마산점	경남 창원시 마산합포구 신마산시장길 33
4	롯데마트	양덕점	경남 창원시 마산회원구 삼호로 80
5	롯데마트	장유점	경남 김해시 번화1로56번길 15
6	롯데마트	진해점	경남 창원시 진해구 진해대로 762
7	롯데마트	진주점	경남 진주시 동진로 440
8	롯데마트	통영점	경남 통영시 무전대로 65
9	이마트	김해점	경남 김해시 김해대로 2232
10	이마트	마산점	경남 창원시 마산합포구 서성로 3
11	이마트	사천점	경남 사천시 삼천포대교로 591
12	이마트	창원점	경남 창원시 성산구 원이대로 608
13	이마트	통영점	경남 통영시 광도면 죽림4로 9
14	홈플러스	진해점	경남 창원시 진해구 충장로 356
15	홈플러스	삼천포점	경남 사천시 중앙로 165
18	하나로마트	거제축산점	경남 거제시 옥포로27길 6
19	하나로마트	양산점	경남 양산시 물금읍 증산역로 177
20	SCH서울아동병원		경남 통영시 중앙로 334-1
