index	상호명	지점명	주소
0	롯데마트	검단점	인천 서구 원당대로 581
1	롯데마트	계양점	인천 계양구 장제로 822
2	롯데마트	삼산점	인천 부평구 길주로 623
3	롯데마트	송도점	인천 연수구 컨벤시아대로 177
4	롯데마트	청라점	인천 서구 청라커낼로 252
5	롯데마트	부평역점	인천 부평구 광장로 16
6	롯데마트	영종도점	인천 중구 흰바위로 51
7	이마트	검단점	인천 서구 서곶로 754
8	이마트	계양점	인천 계양구 봉오대로 785
9	이마트	연수점	인천 연수구 경원대로 184
10	홈플러스	간석점	인천 남동구 경원대로 971
11	홈플러스	계산점	인천 계양구 오조산공원로 14
12	홈플러스	구월점	인천 남동구 예술로 198
13	홈플러스	송도점	인천 연수구 송도국제대로 165
14	홈플러스	인천연수점	인천 연수구 청능대로 210
15	홈플러스	인천청라점	인천 서구 중봉대로 587
16	홈플러스	인하점	인천 미추홀구 소성로 6
17	가챠샵	차이나타운점	인천 중구 차이나타운로44번길 30
18	가챠샵	인천논현점	인천 남동구 논고개로123번길 35
