index	상호명	지점명	주소
0	롯데마트	김포공항점	서울 강서구 하늘길 77 롯데백화점김포공항점 B2
1	롯데마트	서울역점	서울 중구 한강대로 405
2	롯데마트	송파점	서울 송파구 중대로 80 롯데마트송파점
3	롯데마트	월드타워점	서울 송파구 올림픽로 300 롯데월드몰 B2
4	롯데마트	은평점	서울 은평구 통일로 1050 롯데몰 은평점
5	롯데마트	중계점	서울 노원구 노원로 330 롯데마트중계점
6	롯데마트	청량리점	서울 동대문구 왕산로 214
7	이마트	가든파이브점	서울 송파구 충민로 10 가든파이브툴 지하1층
8	이마트	마포공덕점	서울 마포구 백범로 212 대우 월드마크마포
9	이마트	묵동점	서울 중랑구 동일로 932 묵동자이2단지
10	이마트	명일점	서울 강동구 고덕로 276 신세계이마트명일점
11	이마트	천호점	서울 강동구 천호대로 1017 이마트천호점
12	이마트	수색점	서울 은평구 수색로 217
13	이마트	신도림점	서울 구로구 새말로 97 테크노마트 B2층
14	이마트	영등포점	서울 영등포구 영중로 15 이마트영등포점
15	이마트	용산점	서울 용산구 한강대로23길 55 이마트용산점
16	이마트	은평점	서울 은평구 은평로 111 이마트은평점
17	이마트	자양점	서울 광진구 아차산로 272 이마트자양점
18	이마트	하월곡점	서울 성북구 종암로 167 이마트하월곡점
19	이마트	월계점	서울 노원구 마들로3길 15
20	이마트	청계천점	서울 중구 청계천로 400 이마트청계천점
21	이마트	창동점	서울 도봉구 노해로65길 4 창동E-MART
22  이마트  상봉점  서울 중랑구 상봉로 118
23	홈플러스	금천점	서울 금천구 시흥대로 391 삼성홈플러스
24	홈플러스	남현점	서울 관악구 과천대로 909 남현프라자
25	홈플러스	면목점	서울 중랑구 사가정로 332
26	홈플러스	목동점	서울 양천구 목동서로 170 홈플러스목동점
27	홈플러스	상봉점	서울 중랑구 망우로 353 홈플러스상봉점
28	홈플러스	시흥점	서울 금천구 시흥대로 201 홈플러스시흥점
29	홈플러스	신도림점	서울 구로구 경인로 661 신도림1차푸르지오
30	홈플러스	월곡점	서울 성북구 화랑로 76
31	홈플러스	합정점	서울 마포구 양화로 45 메세나폴리스
32	홈플러스	잠실점	서울 송파구 올림픽로35가길 16 홈플러스잠실점
33	가챠샵	이수역점	서울 동작구 동작대로27가길 46-5 1층
34	가챠샵	대학로점	서울 종로구 대학로 135 2층
35	코믹존	신림	서울 관악구 신림로 300 웅산빌딩 지하1층
36	영풍문고	여의도IFC몰점	서울 영등포구 국제금융로 10 IFC몰 L2층
37	애니메이트	용산점	서울 용산구 한강대로23길 55
38	애니메이트	홍대점	서울 마포구 양화로 188 AK& 홍대 5층
39	노리존		서울 노원구 상계로 65 지층 1호
