 점포명 지역명 시 구 이하주소 지도
☆ 롯데마트 광복점 (부산광역시 중구 중앙동 http://naver.me/FqkKW93b)
☆ 롯데마트 동래점 (부산광역시 동래구 온천동 http://naver.me/xdDV6ut3)
☆ 롯데마트 사상점 (부산광역시 사상구 엄궁동 http://naver.me/56Q7rXL2)
☆ 롯데마트 화명점 (부산광역시 북구 화명3동 http://naver.me/5OmCD0IR)
☆ 롯데아울렛 동부산점 (부산광역시 중구 중앙동 http://naver.me/G2UVFwsV)
☆ 롯데백화점 광복점 (부산광역시 중구 중앙동 http://naver.me/xsw8wKy7)


☆ 이마트 금정점 (부산광역시 금정구 구서동 http://naver.me/FB1e7SGs)
☆ 이마트 연제점 (부산광역시 연제구 연산동 http://naver.me/xOGNxgCx)
☆ 신세계프리미엄아울렛 부산점 (부산광역시 기장군 장안읍 http://naver.me/x0ahdvfK)

☆ 홈플러스 가야점 (부산광역시 부산진구 가야동 http://naver.me/Gac7V4Xj)
☆ 홈플러스 부산연산점 (부산광역시 연제구 연산동 http://naver.me/GbTBWkdZ)
☆ 홈플러스 부산정관점 (부산광역시 기장군 정관읍,매학리 http://naver.me/x4tWmEGu)
☆ 홈플러스 센텀시티점 (부산광역시 해운대구 우2동 http://naver.me/GXvACzbA)
☆ 홈플러스 아시아드점 (부산광역시 연제구 거제동 http://naver.me/x4tWn0wds)
☆ 홈플러스 해운대점 (부산광역시 해운대구 우동 http://naver.me/Fwnk2Ua7)
☆ 홈플러스 동래점 (부산광역시 동래구 온천1동 http://naver.me/xevUyfgL)
☆ 홈플러스 서면점 (부산광역시 부산진구 전포동 http://naver.me/5aVqrZdQ)
☆ 홈플러스 부산반여점 (부산광역시 해운대구 반여1동 http://naver.me/5xlamRQY)

☆ 가챠샵 경성대점 (부산광역시 남구 대연동 http://naver.me/FT8cgWaQ)
☆ 가챠샵 서면점 (부산광역시 부산진구 부전동 http://naver.me/I5J6GIIs)
☆ 하나로마트 부산점 (부산광역시 북구 금곡동 http://naver.me/xzFCb0iR)
☆ 더케이토이박스  (부산광역시 부산진구 부전동 http://naver.me/GEqJeunG)
☆ 명지대왕게임랜드  (부산광역시 강서구 명지동 http://naver.me/5tLS80xc)
☆ NC백화점 해운대점 (부산광역시 해운대구 좌동 http://naver.me/GBflokXC)
☆ NC백화점 부산대점 (부산광역시 금정구 장전동 http://naver.me/GGhEiNum)
☆ W스퀘어(모던토이) 용호점 (부산광역시 남구 용호동 http://naver.me/5vIcP3qR)
☆ 현대백화점 부산점 (부산광역시 동구 범일동 http://naver.me/GHEDTUGN)
