 점포명 지역명 도 시 이하주소 지도
☆ 롯데마트 석사점 (강원도 춘천시 석사동 http://naver.me/FkAbkjYh)
☆ 롯데마트 춘천점 (강원도 춘천시 온의동 http://naver.me/FaQeOLki)
☆ 롯데마트 원주점 (강원도 원주시 단계동 http://naver.me/F2tf68Nu)

☆ 이마트 강릉점 (강원도 강릉시 송정동 http://naver.me/G9Cv4TFx)
☆ 이마트 동해점 (강원도 동해시 천곡동 http://naver.me/FzvPZbEg)
☆ 이마트 속초점 (강원도 속초시 청호동 http://naver.me/xewcP3hb)
☆ 이마트 원주점 (강원도 원주시 무실동 http://naver.me/FQmdUVkW)
☆ 이마트 춘천점 (강원도 춘천시 온의동 http://naver.me/Gsid2zsI)
☆ 이마트 태백점 (강원도 태백시 화전동 http://naver.me/G0RlWeOT)

☆ 홈플러스 원주점 (강원도 관설동 1453 http://naver.me/xM25wxdG)
