 점포명 지역명 도 시 이하주소1 이하주소2 지도
☆ 롯데마트 군산점 (전라북도 군산시 수송동  http://naver.me/Gwga00Ay)
☆ 롯데마트 익산점 (전라북도 익산시 영등동  http://naver.me/5m4vIjhd)
☆ 롯데마트 정읍점 (전라북도 정읍시 농소동  http://naver.me/Gu9CDGjc)

☆ 이마트 군산점 (전라북도 군산시 경암동  http://naver.me/56QXRW2z)
☆ 이마트 남원점 (전라북도 남원시 왕정동  http://naver.me/5obOYwM8)
☆ 이마트 전주점 (전라북도 전주시 완산구 서신동 http://naver.me/x0pOQ4M8)
☆ 이마트 에코시티점 (전라북도 전주시 송천동  http://naver.me/5MU92uFE)

☆ 홈플러스 김제점 (전라북도 김제시 검산동  http://naver.me/5ElU5B0e)
☆ 홈플러스 전주효자점 (전라북도 전주시 효자동  http://naver.me/5ElU5B0e)

☆ 가챠샵 전주점 (전라북도 전주시 완산구 고사동 http://naver.me/GmCbD4kM)
