 점포명 지역명 도 시 이하주소1 이하주소2 지도
☆ 롯데마트 남악점 (전라남도 무안군 삼향읍남악리 http://naver.me/F5eskNZt)
☆ 롯데마트 목포점 (전라남도 목포시 상동 http://naver.me/Gd32fK3Z)
☆ 롯데마트 여천점 (전라남도 여수시 선원동 http://naver.me/GQ43YnKW)
☆ 롯데마트 나주점 (전라남도 나주시 송월동 http://naver.me/GY2NYAbH)

☆ 이마트 목포점 (전라남도 목포시 옥암동 http://naver.me/GZzy4UxR)
☆ 이마트 여수점 (전라남도 여수시 오림동 http://naver.me/5lY2X0Bg)

☆ 홈플러스 순천풍덕점 (전라남도 순천시 풍덕동 http://naver.me/x2I6lmPf)
☆ 홈플러스 광양점 (전라남도 광양시 중동 http://naver.me/FMAwFOBw)

☆ 리브로 나주점 (전라남도 나주시 빛가람동 http://naver.me/xyJkmlnz)
☆ 리브로 광양점 (전라남도 광양시 광양읍 http://naver.me/x4HQxuCn)
