 점포명 지역명 시 구 이하주소 지도
☆ 롯데마트 김포공항점 (서울특별시 강서구 방화동 http://naver.me/GfpCKQwb)
☆ 롯데마트 서울역점 (서울특별시 중구 봉래동 http://naver.me/FbGIBQIM)
☆ 롯데마트 송파점 (서울특별시 송파구 문정동 http://naver.me/5MTCnoBw)
☆ 롯데마트 월드타워점 (서울특별시 송파구 신천동 http://naver.me/xOGInzgw)
☆ 롯데마트 은평점 (서울특별시 은평구 진관동 http://naver.me/G75DgJee)
☆ 롯데마트 중계점 (서울특별시 노원구 중계동 http://naver.me/FhIujqyM)
☆ 롯데마트 청량리점 (서울특별시 동대문구 전농동 http://naver.me/xlzbXd8y)

☆ 이마트 가든파이브점 (서울특별시 송파구 문정동 http://naver.me/xOGIHhTB)
☆ 이마트 마포공덕점 (서울특별시 마포구 신공덕동 http://naver.me/FvhCddF4)
☆ 이마트 묵동점 (서울특별시 중랑구 묵동 http://naver.me/FuVzpnum)
☆ 이마트 명일점 (서울특별시 강동구 명일동 http://naver.me/F4Ptfrzz)
☆ 이마트 천호점 (서울특별시 강동구 천호동 http://naver.me/GDTbGqxw)
☆ 이마트 수색점 (서울특별시 은평구 수색동 http://naver.me/GdxX1t0D)
☆ 이마트 신도림점 (서울특별시 구로구 구로동 http://naver.me/FQP4ENvQ)
☆ 이마트 영등포점 (서울특별시 영등포구 영등포동4가 http://naver.me/FsaoRbSf)
☆ 이마트 용산점 (서울특별시 용산구 한강로3가 http://naver.me/GjFkAep6)
☆ 이마트 은평점 (서울특별시 은평구 응암동 http://naver.me/IDJozi9h)
☆ 이마트 자양점 (서울특별시 광진구 자양동 http://naver.me/x6g7EHwv)
☆ 이마트 하월곡점 (서울특별시 성북구 하월곡동 http://naver.me/GjSyklwp)
☆ 이마트(토이킹덤) 월계점 (서울특별시 노원구 월계동 http://naver.me/xWNpRqwT)
☆ 이마트 청계천점 (서울특별시 중구 황학동 http://naver.me/xxJtIU3C)
☆ 이마트 창동점 (서울특별시 도봉구 노해로 http://naver.me/x7v8Fimv)

☆ 홈플러스 금천점 (서울특별시 금천구 독산동 http://naver.me/xfe4D7a2)
☆ 홈플러스 남현점 (서울특별시 관악구 남현동 http://naver.me/5eVih7wf)
☆ 홈플러스 면목점 (서울특별시 중랑구 면목5동 http://naver.me/GBAZQvvn)
☆ 홈플러스 목동점 (서울특별시 양천구 목동 http://naver.me/5XPDlnQ5)
☆ 홈플러스 상봉점 (서울특별시 중랑구 상봉동 http://naver.me/FH2uynSu)
☆ 홈플러스 시흥점 (서울특별시 금천구 시흥동 http://naver.me/xqW4Q0pn)
☆ 홈플러스 신도림점 (서울특별시 구로구 신도림동 http://naver.me/5rQHPXXs)
☆ 홈플러스 월곡점 (서울특별시 성북구 하월곡동 http://naver.me/G4kmsdet)
☆ 홈플러스 합정점 (서울특별시 마포구 서교동 http://naver.me/5XPh0T9A)




☆ 홈플러스 잠실점 (서울특별시 송파구 신천동 http://naver.me/G2UV4nEE)

☆ 가챠샵 이수역점 (서울특별시 동작구 사당동 http://naver.me/Fh883bCW)
☆ 가챠샵 대학로점 (서울특별시 종로구 명륜4가 http://naver.me/F9Qp75up)
☆ 코믹존 신림 (서울특별시 관악구 서원동 http://naver.me/GG0NVZUO)
☆ 영풍문고 여의도IFC몰점 (서울특별시 영등포구 여의도동 http://naver.me/5mODG22K)
☆ 애니메이트 용산점 (서울특별시  한강로3가 http://naver.me/Gcbf6ZCa)
☆ 애니메이트 홍대점 (서울특별시 마포구 양화로188 http://naver.me/Gs48twhK)
☆ 노리존  (서울특별시 노원구 상계동 http://naver.me/ForvzXiV)
